-0.5,0.25,1,1.44,2.25,1.5,2.2,2.7,1,1,-1.11022e-15
-0.49,0.2401,0.9801,1.4161,2.2201,1.48,2.18,2.68,1,1,-1.11022e-15
-0.48,0.2304,0.9604,1.3924,2.1904,1.46,2.16,2.66,1,1,-1.11022e-15
-0.47,0.2209,0.9409,1.3689,2.1609,1.44,2.14,2.64,1,1,3.33067e-16
-0.46,0.2116,0.9216,1.3456,2.1316,1.42,2.12,2.62,1,1,-2.88658e-15
-0.45,0.2025,0.9025,1.3225,2.1025,1.4,2.1,2.6,1,1,2.10942e-15
-0.44,0.1936,0.8836,1.2996,2.0736,1.38,2.08,2.58,1,1,-1.11022e-15
-0.43,0.1849,0.8649,1.2769,2.0449,1.36,2.06,2.56,1,1,3.33067e-16
-0.42,0.1764,0.8464,1.2544,2.0164,1.34,2.04,2.54,1,1,6.66134e-16
-0.41,0.1681,0.8281,1.2321,1.9881,1.32,2.02,2.52,1,1,-1.11022e-15
-0.4,0.16,0.81,1.21,1.96,1.3,2,2.5,1,1,-1.11022e-15
-0.39,0.1521,0.7921,1.1881,1.9321,1.28,1.98,2.48,1,1,-1.11022e-15
-0.38,0.1444,0.7744,1.1664,1.9044,1.26,1.96,2.46,1,1,1.11022e-15
-0.37,0.1369,0.7569,1.1449,1.8769,1.24,1.94,2.44,1,1,2.88658e-15
-0.36,0.1296,0.7396,1.1236,1.8496,1.22,1.92,2.42,1,1,-1.11022e-15
-0.35,0.1225,0.7225,1.1025,1.8225,1.2,1.9,2.4,1,1,1.11022e-15
-0.34,0.1156,0.7056,1.0816,1.7956,1.18,1.88,2.38,1,1,-1.11022e-15
-0.33,0.1089,0.6889,1.0609,1.7689,1.16,1.86,2.36,1,1,2.88658e-15
-0.32,0.1024,0.6724,1.0404,1.7424,1.14,1.84,2.34,1,1,1.11022e-15
-0.31,0.0961,0.6561,1.0201,1.7161,1.12,1.82,2.32,1,1,-1.11022e-15
-0.3,0.09,0.64,1,1.69,1.1,1.8,2.3,1,1,-1.11022e-15
-0.29,0.0841,0.6241,0.9801,1.6641,1.08,1.78,2.28,1,1,-1.11022e-15
-0.28,0.0784,0.6084,0.9604,1.6384,1.06,1.76,2.26,1,1,1.11022e-15
-0.27,0.0729,0.5929,0.9409,1.6129,1.04,1.74,2.24,1,1,-2.22045e-16
-0.26,0.0676,0.5776,0.9216,1.5876,1.02,1.72,2.22,1,1,-1.11022e-15
-0.25,0.0625,0.5625,0.9025,1.5625,1,1.7,2.2,1,1,-2.22045e-16
-0.24,0.0576,0.5476,0.8836,1.5376,0.98,1.68,2.18,1,1,-1.11022e-15
-0.23,0.0529,0.5329,0.8649,1.5129,0.96,1.66,2.16,1,1,-4.44089e-16
-0.22,0.0484,0.5184,0.8464,1.4884,0.94,1.64,2.14,1,1,-2.22045e-16
-0.21,0.0441,0.5041,0.8281,1.4641,0.92,1.62,2.12,1,1,-1.9984e-15
-0.2,0.04,0.49,0.81,1.44,0.9,1.6,2.1,1,1,3.33067e-16
-0.19,0.0361,0.4761,0.7921,1.4161,0.88,1.58,2.08,1,1,-1.9984e-15
-0.18,0.0324,0.4624,0.7744,1.3924,0.86,1.56,2.06,1,1,-2.22045e-16
-0.17,0.0289,0.4489,0.7569,1.3689,0.84,1.54,2.04,1,1,-1.11022e-15
-0.16,0.0256,0.4356,0.7396,1.3456,0.82,1.52,2.02,1,1,3.33067e-16
-0.15,0.0225,0.4225,0.7225,1.3225,0.8,1.5,2,1,1,1.22125e-15
-0.14,0.0196,0.4096,0.7056,1.2996,0.78,1.48,1.98,1,1,7.77156e-16
-0.13,0.0169,0.3969,0.6889,1.2769,0.76,1.46,1.96,1,1,0
-0.12,0.0144,0.3844,0.6724,1.2544,0.74,1.44,1.94,1,1,1.22125e-15
-0.11,0.0121,0.3721,0.6561,1.2321,0.72,1.42,1.92,1,1,1.22125e-15
-0.1,0.01,0.36,0.64,1.21,0.7,1.4,1.9,1,1,1.22125e-15
-0.09,0.0081,0.3481,0.6241,1.1881,0.68,1.38,1.88,1,1,1.22125e-15
-0.08,0.0064,0.3364,0.6084,1.1664,0.66,1.36,1.86,1,1,-5.55112e-16
-0.07,0.0049,0.3249,0.5929,1.1449,0.64,1.34,1.84,1,1,-2.88658e-15
-0.06,0.0036,0.3136,0.5776,1.1236,0.62,1.32,1.82,1,1,-1.9984e-15
-0.05,0.0025,0.3025,0.5625,1.1025,0.6,1.3,1.8,1,1,-3.77476e-15
-0.04,0.0016,0.2916,0.5476,1.0816,0.58,1.28,1.78,1,1,-1.9984e-15
-0.03,0.0009,0.2809,0.5329,1.0609,0.56,1.26,1.76,1,1,2.22045e-16
-0.02,0.0004,0.2704,0.5184,1.0404,0.54,1.24,1.74,1,1,8.88178e-16
-0.01,0.0001,0.2601,0.5041,1.0201,0.52,1.22,1.72,1,1,2.55351e-15
3.08781e-16,0,0.25,0.49,1,0.5,1.2,1.7,1,1,-4.44089e-16
0.01,0,0.2401,0.4761,0.9801,0.4802,1.18,1.68,0.999714,1,0.000285714
0.02,0,0.2304,0.4624,0.9604,0.4608,1.16,1.66,0.998857,1,0.00114286
0.03,0,0.2209,0.4489,0.9409,0.4418,1.14,1.64,0.997429,1,0.00257143
0.04,0,0.2116,0.4356,0.9216,0.4232,1.12,1.62,0.995429,1,0.00457143
0.05,0,0.2025,0.4225,0.9025,0.405,1.1,1.6,0.992857,1,0.00714286
0.06,0,0.1936,0.4096,0.8836,0.3872,1.08,1.58,0.989714,1,0.0102857
0.07,0,0.1849,0.3969,0.8649,0.3698,1.06,1.56,0.986,1,0.014
0.08,0,0.1764,0.3844,0.8464,0.3528,1.04,1.54,0.981714,1,0.0182857
0.09,0,0.1681,0.3721,0.8281,0.3362,1.02,1.52,0.976857,1,0.0231429
0.1,0,0.16,0.36,0.81,0.32,1,1.5,0.971429,1,0.0285714
0.11,0,0.1521,0.3481,0.7921,0.3042,0.98,1.48,0.965429,1,0.0345714
0.12,0,0.1444,0.3364,0.7744,0.2888,0.96,1.46,0.958857,1,0.0411429
0.13,0,0.1369,0.3249,0.7569,0.2738,0.94,1.44,0.951714,1,0.0482857
0.14,0,0.1296,0.3136,0.7396,0.2592,0.92,1.42,0.944,1,0.056
0.15,0,0.1225,0.3025,0.7225,0.245,0.9,1.4,0.935714,1,0.0642857
0.16,0,0.1156,0.2916,0.7056,0.2312,0.88,1.38,0.926857,1,0.0731429
0.17,0,0.1089,0.2809,0.6889,0.2178,0.86,1.36,0.917429,1,0.0825714
0.18,0,0.1024,0.2704,0.6724,0.2048,0.84,1.34,0.907429,1,0.0925714
0.19,0,0.0961,0.2601,0.6561,0.1922,0.82,1.32,0.896857,1,0.103143
0.2,0,0.09,0.25,0.64,0.18,0.8,1.3,0.885714,1,0.114286
0.21,0,0.0841,0.2401,0.6241,0.1682,0.78,1.28,0.874,1,0.126
0.22,0,0.0784,0.2304,0.6084,0.1568,0.76,1.26,0.861714,1,0.138286
0.23,0,0.0729,0.2209,0.5929,0.1458,0.74,1.24,0.848857,1,0.151143
